,index,Col1,Col2,Col3,Col4,Col5,mc1,mc2,mc3,mc4,mc5,m11,m12,m13,m14,m15
33,33,-0.036589931696653366,-0.02921873889863491,-0.017687730491161346,-0.0003677801869343966,1.3789469122116316e-08,-0.03777492418885231,-0.029599186033010483,-0.01718345656991005,0.0010675272351363674,1.7551114339653395e-08,-0.036589931696653366,-0.02921873889863491,-0.016679182648658752,0.0025028346572071314,2.1312759557190475e-08
34,34,-0.029961736872792244,-0.02165038511157036,-0.009960988536477089,0.0070374272763729095,1.5094267169502018e-08,-0.033275834284722805,-0.025434562005102634,-0.013824359513819218,0.0033348235447192565,1.4441868145809167e-08,-0.029961736872792244,-0.02165038511157036,-0.009960988536477089,0.0070374272763729095,1.5094267169502018e-08
35,35,-0.02567165531218052,-0.017590051516890522,-0.006031655706465244,0.009603770449757578,4.752826399112564e-08,-0.027816696092486385,-0.019620218314230442,-0.007996322121471167,0.008320598863065243,3.131126558031383e-08,-0.02567165531218052,-0.017590051516890522,-0.006031655706465244,0.009603770449757578,4.752826399112564e-08
36,36,-0.026488723233342167,-0.01854801177978516,-0.00679511111229658,0.009110844694077969,6.491749360293397e-08,-0.026080189272761345,-0.01806903164833784,-0.006413383409380913,0.009357307571917772,5.622287879702981e-08,-0.02567165531218052,-0.017590051516890522,-0.006031655706465244,0.009603770449757578,6.491749360293397e-08
37,37,-0.03434904292225838,-0.026520414277911183,-0.014081832952797411,0.003563646459951997,3.4854693353736366e-08,-0.030418883077800274,-0.02253421302884817,-0.010438472032546995,0.006337245577014983,4.988609347833517e-08,-0.026488723233342167,-0.01854801177978516,-0.00679511111229658,0.009110844694077969,6.491749360293397e-08
38,38,-0.034331511706113815,-0.026545820757746696,-0.014459964819252493,0.0023529271129518747,3.4747538180113224e-11,-0.034340277314186096,-0.02653311751782894,-0.014270898886024952,0.0029582867864519358,1.744472044595824e-08,-0.034331511706113815,-0.026520414277911183,-0.014081832952797411,0.003563646459951997,3.4854693353736366e-08
39,39,-0.03755046054720879,-0.029658092185854912,-0.018211990594863888,-0.0013619317905977368,-4.354852478627436e-08,-0.0359409861266613,-0.028101956471800804,-0.01633597770705819,0.000495497661177069,-2.1756888624047125e-08,-0.034331511706113815,-0.026545820757746696,-0.014459964819252493,0.0023529271129518747,3.4747538180113224e-11
40,40,-0.03594356030225754,-0.028481328859925274,-0.017663177102804184,-0.0016286784084513783,-9.107692022780611e-08,-0.03674701042473316,-0.02906971052289009,-0.017937583848834038,-0.0014953050995245576,-6.731272250704023e-08,-0.03594356030225754,-0.028481328859925274,-0.017663177102804184,-0.0013619317905977368,-4.354852478627436e-08
41,41,-0.04172486811876297,-0.03370441496372223,-0.021677132695913315,-0.003077808767557144,-1.6287962978367434e-07,-0.038834214210510254,-0.03109287191182375,-0.01967015489935875,-0.0023532435880042613,-1.2697827500574022e-07,-0.03594356030225754,-0.028481328859925274,-0.017663177102804184,-0.0016286784084513783,-9.107692022780611e-08
42,42,-0.039462018758058555,-0.031673725694417953,-0.02064535953104496,-0.0034747240133583546,-1.4900805922479776e-07,-0.04059344343841076,-0.03268907032907009,-0.021161246113479137,-0.0032762663904577494,-1.5594384450423604e-07,-0.039462018758058555,-0.031673725694417953,-0.02064535953104496,-0.003077808767557144,-1.4900805922479776e-07
43,43,-0.040300481021404266,-0.03227951005101204,-0.021920148283243176,-0.0050547462888062,-1.9235484671753514e-07,-0.03988124988973141,-0.031976617872714996,-0.021282753907144066,-0.004264735151082277,-1.7068145297116644e-07,-0.039462018758058555,-0.031673725694417953,-0.02064535953104496,-0.0034747240133583546,-1.4900805922479776e-07
44,44,-0.046694520860910416,-0.038001660257577896,-0.026747170835733414,-0.008657682687044142,-2.1994841858941075e-07,-0.04349750094115734,-0.03514058515429497,-0.024333659559488293,-0.006856214487925171,-2.0615163265347294e-07,-0.040300481021404266,-0.03227951005101204,-0.021920148283243176,-0.0050547462888062,-1.9235484671753514e-07
45,45,-0.05424266681075096,-0.045241810381412506,-0.03348845615983009,-0.0144650274887681,-1.6911961608911954e-07,-0.05046859383583069,-0.0416217353194952,-0.030117813497781754,-0.011561355087906122,-1.9453401733926515e-07,-0.046694520860910416,-0.038001660257577896,-0.026747170835733414,-0.008657682687044142,-1.6911961608911954e-07
46,46,-0.056788213551044464,-0.04750000312924385,-0.03432830050587654,-0.012606743723154068,-1.4289850014392869e-07,-0.05551544018089771,-0.04637090675532818,-0.03390837833285332,-0.013535885605961084,-1.560090581165241e-07,-0.05424266681075096,-0.045241810381412506,-0.03348845615983009,-0.012606743723154068,-1.4289850014392869e-07
47,47,-0.051057368516922,-0.04250289127230644,-0.031025009229779243,-0.011324040591716766,-1.137994232180972e-07,-0.05392279103398323,-0.045001447200775146,-0.03267665486782789,-0.011965392157435417,-1.2834896168101295e-07,-0.051057368516922,-0.04250289127230644,-0.031025009229779243,-0.011324040591716766,-1.137994232180972e-07
48,48,-0.041297614574432366,-0.03339638561010361,-0.022902533411979675,-0.005427095573395491,-9.193479399982608e-08,-0.046177491545677185,-0.037949638441205025,-0.02696377132087946,-0.008375568082556129,-1.0286710860896164e-07,-0.041297614574432366,-0.03339638561010361,-0.022902533411979675,-0.005427095573395491,-9.193479399982608e-08
49,49,-0.044540006667375565,-0.03636711463332176,-0.02417340874671936,-0.005147292744368315,-3.075826526810488e-08,-0.04291881062090397,-0.034881750121712685,-0.023537971079349518,-0.005287194158881903,-6.134652963396547e-08,-0.041297614574432366,-0.03339638561010361,-0.022902533411979675,-0.005147292744368315,-3.075826526810488e-08
50,50,-0.03752440959215164,-0.02869568206369877,-0.016318559646606445,0.00041238716221414506,5.527177648900761e-08,-0.0410322081297636,-0.032531398348510265,-0.020245984196662903,-0.002367452791077085,1.2256755610451364e-08,-0.03752440959215164,-0.02869568206369877,-0.016318559646606445,0.00041238716221414506,5.527177648900761e-08
51,51,-0.03199731186032295,-0.023519672453403473,-0.010921330191195011,0.0068481569178402415,4.509044515543792e-08,-0.0347608607262373,-0.02610767725855112,-0.013619944918900728,0.0036302720400271933,5.018111082222276e-08,-0.03199731186032295,-0.023519672453403473,-0.010921330191195011,0.0068481569178402415,5.527177648900761e-08
52,52,-0.027846520766615868,-0.019844017922878265,-0.007937480695545673,0.007913766428828238,3.373416035401533e-08,-0.02992191631346941,-0.02168184518814087,-0.009429405443370342,0.007380961673334239,3.9412302754726625e-08,-0.027846520766615868,-0.019844017922878265,-0.007937480695545673,0.007913766428828238,4.509044515543792e-08
53,53,-0.027337443083524704,-0.019578441977500916,-0.007979457266628742,0.008381729014217854,4.0419685376491537e-08,-0.027591981925070286,-0.01971122995018959,-0.007958468981087208,0.008147747721523046,3.7076922865253437e-08,-0.027337443083524704,-0.019578441977500916,-0.007937480695545673,0.008381729014217854,4.0419685376491537e-08
54,54,-0.03370459005236626,-0.02543235383927822,-0.013153153471648691,0.004074734169989824,3.058964637148165e-08,-0.03052101656794548,-0.02250539790838957,-0.010566305369138718,0.00622823159210384,3.5504665873986596e-08,-0.027337443083524704,-0.019578441977500916,-0.007979457266628742,0.008381729014217854,4.0419685376491537e-08
55,55,-0.036863774061203,-0.02922227419912815,-0.017841337248682976,-0.0007223396096378563,-8.552039076903382e-09,-0.03528418205678463,-0.027327314019203186,-0.015497245360165834,0.0016761972801759848,1.1018803647289133e-08,-0.03370459005236626,-0.02543235383927822,-0.013153153471648691,0.004074734169989824,3.058964637148165e-08
56,56,-0.03462773561477661,-0.027201335877180096,-0.016535399481654167,3.096591899520717e-05,-8.665282535957886e-08,-0.03574575483798981,-0.028211805038154125,-0.01718836836516857,-0.0003456868453213237,-4.760243221824112e-08,-0.03462773561477661,-0.027201335877180096,-0.016535399481654167,3.096591899520717e-05,-8.552039076903382e-09
57,57,-0.03850512206554413,-0.030760496854782104,-0.01956607401371002,-0.0027554305270314217,-8.168549925358093e-08,-0.03656642884016037,-0.028980916365981102,-0.018050736747682095,-0.0013622323040181064,-8.416916230657989e-08,-0.03462773561477661,-0.027201335877180096,-0.016535399481654167,3.096591899520717e-05,-8.168549925358093e-08
58,58,-0.04038875177502632,-0.03196171298623085,-0.019797857850790024,-0.0018395957304164767,-1.1544112510364357e-07,-0.039446936920285225,-0.03136110492050648,-0.019681965932250023,-0.0022975131287239483,-9.856331217861225e-08,-0.03850512206554413,-0.030760496854782104,-0.01956607401371002,-0.0018395957304164767,-8.168549925358093e-08
59,59,-0.04337552934885025,-0.034973785281181335,-0.022434988990426064,-0.003695331746712327,-1.2089627432487762e-07,-0.041882140561938286,-0.03346774913370609,-0.021116423420608044,-0.002767463738564401,-1.181686997142606e-07,-0.04038875177502632,-0.03196171298623085,-0.019797857850790024,-0.0018395957304164767,-1.1544112510364357e-07
