C1,C2,C3,C4,C5,Output
-0.07481144368648529,-0.06314781308174133,-0.04398074001073837,-0.012201493605971336,9.388550381572713e-08,
-0.06985025107860565,-0.05800143629312515,-0.038907069712877274,-0.007760475389659405,8.379915783507386e-08,
-0.07129177451133728,-0.05939212441444397,-0.04015311226248741,-0.008613955229520798,1.0737344524613945e-07,
-0.05573596805334091,-0.04453931748867035,-0.028393248096108437,-0.0031959526240825653,8.047911226327642e-10,
-0.042957987636327744,-0.032291412353515625,-0.01645323447883129,0.007947827689349651,-1.047070128379346e-07,
-0.05932021141052246,-0.04748799279332161,-0.02240951545536518,0.011147039011120796,-1.0643420012002025e-07,
-0.038494911044836044,-0.03271292522549629,-0.01694043166935444,0.00867727305740118,-3.997137127953465e-07,
-0.007829577662050724,-0.008996807038784027,-0.006625209469348192,0.002345751039683819,-5.232473085925449e-07,
0.022376572713255882,0.012349531054496765,-0.002824499038979411,-0.011558689177036285,-3.720677739238454e-07,
-0.14654286205768585,-0.15465013682842255,-0.16057747602462769,-0.1210215836763382,-2.0399795630510198e-07,
-0.06864575296640396,-0.06533128768205643,-0.05786670371890068,-0.03267427533864975,-4.3339434796507703e-07,
-0.07497955858707428,-0.06472577899694443,-0.050066228955984116,-0.027571849524974823,-4.134338666972326e-07,
-0.12972429394721985,-0.1317347288131714,-0.1281975507736206,-0.10493628680706024,-1.220379459709875e-07,
-0.02731727808713913,-0.024259725585579872,-0.02039550617337227,-0.011030356399714947,-3.2611274036753457e-07,
-0.018839139491319656,-0.01657753251492977,-0.01325412280857563,-0.006294924300163984,-2.876668077078648e-07,
-0.08312728255987167,-0.07921670377254486,-0.07266748696565628,-0.05618457496166229,9.32338721781889e-08,
-0.007455997169017792,-0.006735635921359062,-0.005524520296603441,-0.001455390825867653,-3.2168617281058687e-07,
-0.010108533315360546,-0.008539080619812012,-0.006627755705267191,-0.002329984214156866,-2.983450428928336e-07,
-0.0790928453207016,-0.07325786352157593,-0.06487677991390228,-0.04762221872806549,1.0308473008535657e-07,
-0.024683509021997452,-0.02172202803194523,-0.017213784158229828,-0.008205202408134937,-2.2075089134432346e-07,
-0.009086941368877888,-0.009244590997695923,-0.010136852040886879,-0.007874942384660244,-1.4281665983162384e-07,
0.01493165548890829,0.013175129890441895,0.011908454820513725,0.008482908830046654,-4.394772759042098e-07,
-0.029791107401251793,-0.02956533245742321,-0.02681960165500641,-0.021544063463807106,-2.270343770760519e-07,
0.014486455358564854,0.01594723016023636,0.017309367656707764,0.015386177226901054,-3.663538166165381e-07,
0.00955804344266653,0.009199387393891811,0.007985408417880535,0.0071722352877259254,-3.305326004010567e-07,
-0.07886077463626862,-0.07523415982723236,-0.06784087419509888,-0.05474753677845001,-1.481540579106877e-07,
-0.008523210883140564,-0.008062293753027916,-0.007936904206871986,-0.00481110205873847,-2.89961207045053e-07,
-0.025413762778043747,-0.023402145132422447,-0.020401395857334137,-0.012237319722771645,-2.6486088700039545e-07,
-0.11324585229158401,-0.11045600473880768,-0.10136938095092773,-0.08333045244216919,-1.710176320557366e-07,
-0.022312527522444725,-0.020116541534662247,-0.016398102045059204,-0.009536642581224442,-2.3040607288749015e-07,
-0.015454382635653019,-0.012345165014266968,-0.008326709270477295,-0.003484535962343216,-2.2222920392778178e-07,
